Id,Title,Teacher,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Date,Time,Subject
1538,Very Deep Attention-Based Models for Sentiments Analysis and Text Classification,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:19:07,
1672,Novel Deep Learning Architecture for Predicting Heart Diseases based Transformers and Attention Mechanism with Explainability Model,MOUSSAOUI  Abdelouahab,Professeur,TRUE,GL,IDTW,IFIA,F3I,RSD,1/22/2022,12:54:51,
1563,Hate speech detection in tweets,REFOUFI  Allaoua,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:43:24,NLP
1587,Deep learning based sentiment analysis of movie reviews,REFOUFI  Allaoua,Professeur,TRUE,IDTW,IFIA,GL,RSD,,1/5/2022,17:52:46,
1589,Éliminer les silos d’information et unifier les systèmes en les dotant de couches métiers,SAIDI  Mohamed,Maitre de conferences classe A,TRUE,GL,IDTW,IFIA,RSD,F3I,1/2/2022,19:17:15,
1590,Fusion de systèmes d'information,SAIDI  Mohamed,Maitre de conferences classe A,TRUE,GL,IDTW,IFIA,RSD,F3I,1/2/2022,19:14:33,
1453,Protocole clustering les reseaux IoT basé deep learning,ALIOUAT née ZOUAOUI  Zibouda,Professeur,TRUE,RSD,IDTW,IFIA,F3I,GL,1/17/2022,10:23:24,
1454,Détection des cyber-attaques dans l’internet des objets,ALIOUAT née ZOUAOUI  Zibouda,Professeur,TRUE,RSD,IDTW,IFIA,F3I,GL,1/2/2022,19:44:45,
1567,Conception et Réalisation d'un MOOC orienté Réseaux,KHENTOUT  Chabane,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,1/5/2022,17:45:02,
1462,Système d’acquisition et de traitement des données sur les accidents de la route en Algérie,DOUIDI  Lamri,Maitre de conferences classe B,TRUE,IDTW,GL,RSD,IFIA,F3I,1/4/2022,20:19:41,
1463,Services web dans un environnement d’apprentissage à distance,DOUIDI  Lamri,Maitre de conferences classe B,TRUE,IDTW,GL,RSD,IFIA,F3I,1/4/2022,20:22:03,
1473,Approche ontologique pour l’indexation des ressources pédagogiques numériques,DOUIDI  Lamri,Maitre de conferences classe B,TRUE,GL,IDTW,IFIA,RSD,F3I,1/2/2022,19:16:15,
1566,Simulation de la propagation du Covid19 (CoronaVirus) par les Systèmes Multi-Agents,BENAOUDA  Abdelhafid,Maitre de conferences classe B,TRUE,RSD,IDTW,IFIA,F3I,GL,1/3/2022,18:48:41,
1568,"Un modèle basé ""resource LoadBalancing""  dans les Infrastructures as a Services (IaaS) des Cloud-Computing.",BENAOUDA  Abdelhafid,Maitre de conferences classe B,TRUE,RSD,IDTW,IFIA,F3I,GL,1/3/2022,18:32:43,
1576,Simulation  d'un système automatisé  modélisé  par grafcets  hiérarchiques (Encadré par Dr. Nacéra Benaouda),BENAOUDA  Abdelhafid,Maitre de conferences classe B,FALSE,GL,IFIA,RSD,IDTW,F3I,11/20/2021,18:25:10,
1534,Redressement des notes obtenues par différentes formes d’évaluation,KHENTOUT née HARBOUCHE  Khadidja,Maitre de conferences classe B,TRUE,IFIA,IDTW,F3I,RSD,GL,1/4/2022,18:31:54,
1539,Mesure de similarité et classification des profils comportementaux des apprenants fondées sur des réseaux de neurones,KHENTOUT née HARBOUCHE  Khadidja,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,1/9/2022,11:24:25,
1490,Content based Recommender System using Deep Learning,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,TRUE,IDTW,F3I,IFIA,RSD,GL,1/5/2022,17:02:38,
1491,Collaborative Recommender System using Deep Learning,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,TRUE,IDTW,F3I,IFIA,RSD,GL,1/5/2022,17:04:13,
1558,A Hybrid recommendation algorithm for learning resources,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,TRUE,F3I,IDTW,IFIA,RSD,GL,1/4/2022,9:59:35,
1569,Resources Allocation and scheduling problems,MECHTA  Djamila,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,1/3/2022,18:25:47,
1570,Artificial Intelligence-powered edge computing,MECHTA  Djamila,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,1/3/2022,18:28:01,
1571,Security in critical IoMT and IIoT,MECHTA  Djamila,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,1/2/2022,19:42:48,
1572,Bio-inspired based Power routing in P2P energy trading systems,MECHTA  Djamila,Maitre de conferences classe A,TRUE,IFIA,RSD,IDTW,F3I,GL,1/4/2022,18:47:29,
1381,Formalisation des Protocoles d'Interaction dans les SMA,LAOUADI  Mohamed Amin,Maitre de conferences classe B,TRUE,IFIA,IDTW,RSD,F3I,GL,1/4/2022,17:55:46,
1428,Vérification des protocoles d’interaction dans les SMA,LAOUADI  Mohamed Amin,Maitre de conferences classe B,TRUE,IFIA,IDTW,RSD,F3I,GL,1/9/2022,13:17:04,
1544,Un nouveau paradigme de sécurité pour les réseaux de drones utilisant un système immunitaire artificiel,BEGHRICHE  Abdesselem,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,1/3/2022,20:03:21,
1545,un routage efficace pour les réseaux de drones basé sur le comprtement des peinguins.,BEGHRICHE  Abdesselem,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,1/10/2022,11:37:46,
1542,Secure Clock Synchronization in Wireless Sensor Networks,AISSAOUA  Habib,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,1/3/2022,20:08:47,
1559,Clock synchronization in WSNs,AISSAOUA  Habib,Maitre de conferences classe B,FALSE,RSD,IFIA,IDTW,F3I,GL,11/20/2021,12:34:32,
1578,protocole optimal pour la localisation des nœuds dans les VANETs,BENAIDJA  Amira,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,1/3/2022,20:30:22,
1582,An access method for the broadcast of safety messages in IEEE 802.11p VANETs,BENAIDJA  Amira,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,1/15/2022,16:27:19,
1535,Approche pour l'extraction des caractéristiques et la découverte des connaissances dans les images d'expression génétique,MEKROUD  Noureddine,Maitre assistant classe A,TRUE,F3I,IFIA,IDTW,GL,RSD,1/4/2022,9:57:24,
1536,"Extraction des règles d'association en logique évidentielle, modélisation des distances adéquates aux données d'expression génétique",MEKROUD  Noureddine,Maitre assistant classe A,TRUE,IFIA,F3I,IDTW,GL,RSD,1/4/2022,18:33:05,
1537,Extraction des motifs séquentiels flous et possibilistes à partir des données d'expression génétique.,MEKROUD  Noureddine,Maitre assistant classe A,TRUE,IFIA,F3I,IDTW,GL,RSD,1/4/2022,18:34:11,
1443,Implémentation d'un nouveau schéma  de cryptographie en boite blanche,KHARCHI  Samia,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,GL,F3I,1/3/2022,20:06:17,
1500,Les codes QR: Sécurité et authentification,KHARCHI  Samia,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,GL,F3I,1/2/2022,19:43:44,
1592,SDVN : Software Defined Vehicular Networks,HAMMOUCHE  Yassine,Maitre assistant classe A,TRUE,RSD,GL,IFIA,IDTW,F3I,1/3/2022,19:51:58,
1593,Un nouveau protocole de routage Cross-layer pour Vanets.,HAMMOUCHE  Yassine,Maitre assistant classe A,TRUE,RSD,IFIA,F3I,IDTW,GL,1/3/2022,20:02:31,
1560,Développement de l’intelligence artificielle dans le domaine de l’Internet des Objets,FENANIR  Samir,Maitre de conferences classe B,TRUE,IFIA,F3I,RSD,GL,IDTW,1/4/2022,18:39:41,
1561,Système de détection des intrusions pour l’internet des objets en utilisant des techniques d’apprentissage automatique,FENANIR  Samir,Maitre de conferences classe B,TRUE,IFIA,RSD,F3I,GL,IDTW,1/4/2022,18:40:57,
1562,Système de détection des intrusions pour l’internet des objets en utilisant des techniques d’apprentissage approfondi,FENANIR  Samir,Maitre de conferences classe B,TRUE,IFIA,RSD,F3I,GL,IDTW,1/3/2022,20:12:30,
1579,Reconnaissance des émotions implicites,LAKHFIF  Abdelaziz,Maitre de conferences classe A,TRUE,IDTW,IFIA,F3I,GL,RSD,1/5/2022,17:47:08,
1580,Détection des évènements utiles dans Twitter,LAKHFIF  Abdelaziz,Maitre de conferences classe A,TRUE,IDTW,IFIA,F3I,GL,RSD,1/5/2022,17:48:25,
1581,Génération des scènes 3D à partir des graphes sémantiques,LAKHFIF  Abdelaziz,Maitre de conferences classe A,TRUE,IFIA,IDTW,F3I,GL,RSD,1/4/2022,18:48:40,
1511,Newsql databases administration and tuning,TOUMI  Lyazid,Maitre de conferences classe A,TRUE,IDTW,GL,F3I,RSD,IFIA,1/4/2022,9:52:30,
1550,NoSQL Databases for Geospatial Queries: Study and Scalability benchmarking,TOUMI  Lyazid,Maitre de conferences classe A,TRUE,IDTW,GL,F3I,RSD,IFIA,1/5/2022,17:38:47,
1551,Covid-19 pandemic: how to analyze human sentiments?,TOUMI  Lyazid,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/4/2022,17:43:26,
1585,Intelligent Assistant Seller with Sign Language,TOUMI  Lyazid,Maitre de conferences classe A,TRUE,IDTW,F3I,GL,IFIA,RSD,1/5/2022,17:51:04,
1359,"2)	APPLICATION DES META-HEURISTIQUES POUR L'OPTIMIZATION DE LA LOCALIZATION DANS LES RCSFS",LALAMA  Zahia,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,GL,F3I,1/3/2022,18:40:54,
1355,Segmentation des images médicales en cholécystectomie laparoscopique,DJAGHLOUL  Haroun,Maitre assistant classe A,TRUE,F3I,IFIA,GL,IDTW,RSD,1/3/2022,20:57:14,
1365,تطبيق الواقع الافتراضي لمكافحة وباء من نوع كوفيد 19 في وسط جامعي,DJAGHLOUL  Haroun,Maitre assistant classe A,FALSE,F3I,IFIA,GL,IDTW,RSD,11/12/2021,1:44:09,
1484,Deep learning pour l’amélioration du protocole IEEE802.11 DCF,BANABIREZ née ZERGUINE  Nadia,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,1/3/2022,18:41:47,
1485,Amélioration basé sur l’apprentissage profond pour le support du flux temps réel dans les MANETs,BANABIREZ née ZERGUINE  Nadia,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,1/3/2022,18:45:49,
1402,Assessment explanation approaches for black box models,DRIF  Ahlem,Maitre de conferences classe A,TRUE,IFIA,IDTW,F3I,RSD,GL,1/4/2022,17:58:52,
1410,A deep learning model for recommendation,DRIF  Ahlem,Maitre de conferences classe A,TRUE,IFIA,F3I,IDTW,GL,RSD,1/4/2022,18:00:17,
1419,Etude et gestion des phénomènes d’attente.,AMRANI  Lakhdar,Maitre assistant classe A,TRUE,IFIA,GL,F3I,IDTW,RSD,1/6/2022,8:34:17,
1420,Analyse post-optimale en programmation linéaire.,AMRANI  Lakhdar,Maitre assistant classe A,FALSE,IFIA,GL,IDTW,F3I,RSD,11/17/2021,15:45:05,
1541,Assistance à la spécification de propriétés temporelles,BOUAMARI  Abdelkader,Maitre assistant classe A,TRUE,IDTW,IFIA,RSD,GL,F3I,1/5/2022,17:20:23,
1543,Model-checking via le web,BOUAMARI  Abdelkader,Maitre assistant classe A,TRUE,IDTW,RSD,GL,IFIA,F3I,1/5/2022,17:21:25,
1492,comparaison d’algorithmes d’optimisation quantiques: les métaheuristiques quantiques QPSO et  QGA,ZAZOUA née DJEMAME  Safia,Maitre de conferences classe B,TRUE,IFIA,F3I,IDTW,GL,RSD,1/4/2022,18:08:53,
1493,Amélioration d'images avec le Deep Learning,ZAZOUA née DJEMAME  Safia,Maitre de conferences classe B,TRUE,F3I,IFIA,IDTW,GL,RSD,1/4/2022,9:46:23,
1556,Modelisation 3D d'un environnement virtuel,DOUAR  Amel,Maitre assistant classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:41:53,
1557,extraction des informations pertinantes dans un texte,DOUAR  Amel,Maitre assistant classe A,TRUE,IFIA,IDTW,GL,F3I,RSD,1/4/2022,18:38:11,
1415,An enhanced receiver-initiated MAC protocol for wireless sensor networks,GOUDJIL  Lakhdar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,1/3/2022,18:47:58,
1416,A Receiver-Initiated Asynchronous Duty-Cycle MAC Protocol  for the Internet of Things,GOUDJIL  Lakhdar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,1/3/2022,20:04:18,
1407,Sécurisation des images médicales,KHALFALLAH née HADI  Fairouz,Maitre de conferences classe B,TRUE,F3I,RSD,IDTW,GL,IFIA,1/4/2022,9:26:05,
1408,L’apprentissage profond (Deep Learning) pour la classification automatique d’images par le contenu visuel,KHALFALLAH née HADI  Fairouz,Maitre de conferences classe B,TRUE,F3I,IFIA,RSD,GL,IDTW,1/4/2022,9:27:19,
1409,Content Based Image Retrieval on Cloud Computing,KHALFALLAH née HADI  Fairouz,Maitre de conferences classe B,TRUE,F3I,RSD,IFIA,IDTW,GL,1/4/2022,9:29:23,
1356,Un nouvel algorithme auto-stabilisant pour le calcul d’un ensemble dominant fort (Strong Dominating Set),GUELLATI  Nabil,Maitre de conferences classe B,TRUE,RSD,GL,IFIA,IDTW,F3I,1/3/2022,20:18:59,
1449,A Modified Black Widow Optimization algorithm for multilevel thresholding image segmentation,SEMCHEDINE  Moussa,Maitre de conferences classe B,TRUE,F3I,IFIA,IDTW,RSD,GL,1/4/2022,9:33:37,
1456,Tuning deep learning parameters using bio-inspired algorithm,SEMCHEDINE  Moussa,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,1/4/2022,20:18:36,
1528,Modeling of gene regulatory networks: graphycal aproache,BRAHIM-SALEM  Fatiha,Maitre assistant classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:15:13,
1530,Modeling of gene regulatory networks: Bayesian Networks,BRAHIM-SALEM  Fatiha,Maitre assistant classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:16:53,
1527,"Megatron project, the hardware part",KARA  Abdelaziz,Maitre assistant classe A,FALSE,RSD,F3I,IDTW,IFIA,GL,11/19/2021,6:20:15,
1529,"Megatron project, the software part",KARA  Abdelaziz,Maitre assistant classe A,FALSE,RSD,F3I,IDTW,IFIA,GL,11/19/2021,6:21:49,
1575,Security and Privacy in Internet of Things : RPL Protool,MANSOURI  Houceme,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2/8/2022,14:52:49,
1577,Security and Privacy in Internet of Things : LOADng Protocol,MANSOURI  Houceme,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2/8/2022,14:51:48,
1406,Heart Failure Prediction Using Machine Learning Techniques,NASRI  Khaled,Maitre assistant classe B,TRUE,F3I,IDTW,IFIA,GL,RSD,1/4/2022,9:24:47,
1429,Deep Learning Model for Brain Tumor Radiogenomic Classification,NASRI  Khaled,Maitre assistant classe B,TRUE,F3I,IFIA,GL,RSD,IDTW,1/4/2022,9:30:14,
1387,Arabic Sentiment Analysis using Deep Learning for algerian dialect,TEBBANI  Fatiha,Maitre assistant classe A,TRUE,IFIA,IDTW,F3I,GL,RSD,1/4/2022,17:56:31,
1388,Sentiment analysis based Machine learning for Algerian dialect,TEBBANI  Fatiha,Maitre assistant classe A,TRUE,IFIA,F3I,IDTW,GL,RSD,1/11/2022,17:17:49,
1423,Routing Over Low power and Lossy networks.,KANOUNI  Lakhdar,Maitre assistant classe B,FALSE,RSD,IFIA,IDTW,GL,F3I,11/17/2021,17:48:22,
1425,Le routage dans les réseaux LLNs.,KANOUNI  Lakhdar,Maitre assistant classe B,TRUE,RSD,IFIA,F3I,GL,IDTW,1/3/2022,18:32:00,
1433,Problème de détection/couverture des frontières dans les RCFs,LAMRAOUI  Amar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,,1/3/2022,20:14:01,
1471,Implémentation d’un système de cordonnées virtuelles pour le routage dans les réseaux de capteurs sans fil.,LAMRAOUI  Amar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,,1/3/2022,19:54:15,
1619,Implementation of a real IoT system,LOUAIL  Lemia,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,1/3/2022,19:46:32,
1421,Task scheduling for IoT systems,LOUAIL  Lemia,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,GL,F3I,1/2/2022,19:28:20,
1434,Cross-layer routing for wireless sensor networks,LOUAIL  Lemia,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,GL,F3I,1/3/2022,18:26:49,
1472,Arabic offensive language detection in social media,BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,16:58:20,
1474,Arabic Subjective Sentiment Analysis Using Machine Learning,BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,16:59:20,
1475,Development of an Android Application for Anthroponymic Studies,BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:00:46,
1457,Study of generator-based mining frequent itemsets algorithms,KARA Mohamed  Chafia,Maitre de conferences classe A,TRUE,F3I,IFIA,IDTW,RSD,GL,1/4/2022,9:34:22,
1464,Firefly-based feature selection for Arabic text classification,KARA Mohamed  Chafia,Maitre de conferences classe A,TRUE,F3I,IFIA,IDTW,RSD,GL,1/4/2022,9:35:55,
1455,Adaptive flow-level scheduling for the IoT MAC in HWSN,GHERBI  Chirihane,Maitre de conferences classe B,TRUE,RSD,IDTW,IFIA,F3I,GL,2/22/2022,0:54:46,
1467,Mécanisme de contrôle de congestion dans  IoV,GHERBI  Chirihane,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,1/2/2022,19:46:22,
1553,Protection de la vie privée dans le Cloud Computing,KACHA  Lynda,Maitre assistant classe A,TRUE,IFIA,RSD,F3I,IDTW,GL,1/4/2022,18:35:14,
1555,Optimisation du processus d'anonymisation par les métaheuristiques inspirées de la nature,KACHA  Lynda,Maitre assistant classe A,TRUE,IFIA,RSD,F3I,IDTW,GL,1/3/2022,20:29:17,
1522,Triggering Models: Measuring and Mitigating Bias in Arabic Language Generation,Harrag  Fouzi,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:11:47,
1524,Reducing toxicity in Arabic language generation models,Harrag  Fouzi,Maitre de conferences classe A,FALSE,F3I,IDTW,IFIA,GL,RSD,2/6/2022,9:31:48,
1525,Using Multitask Unified Model (MUM) to improve search and NLU,Harrag  Fouzi,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,1/5/2022,17:13:16,
1460,Towards a lightweight secure scheme for internet of things,Cherbal  Sara,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,1/2/2022,19:27:28,
1509,Resource Management Approach in Fog Computing,Cherbal  Sara,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,1/3/2022,18:25:11,
1468,Optimisation de la durée de vie dans les réseaux de capteurs sans fil par le K-couverture,BALBAL  Samir,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,1/2/2022,19:49:49,
1469,métaheuritiques pour résoudre le problème du sac à dos multiple,BALBAL  Samir,Maitre de conferences classe B,TRUE,IFIA,F3I,IDTW,GL,RSD,1/4/2022,18:06:50,
1470,Maximisation de la durée de vie des réseaux de capteurs sans fil par les ensembles dominants,BALBAL  Samir,Maitre de conferences classe B,TRUE,RSD,IFIA,F3I,IDTW,GL,1/10/2022,14:36:06,
1398,Etude comparative d'apprentissage approfondi pour la détection d'intrusion,Frihia  hamza,Maitre de conferences classe B,TRUE,IFIA,F3I,IDTW,GL,RSD,1/4/2022,17:57:56,
1476,Smart groupware to support collaborative medical diagnosis,Ferradji  mohamed,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,1/4/2022,9:42:32,
1477,Adaptive Network-based Fuzzy Inference Systems (ANFIS) optimization based on Particle Swarm Optimization (PSO),Ferradji  mohamed,Maitre de conferences classe B,TRUE,IFIA,IDTW,F3I,RSD,GL,1/4/2022,18:07:50,
1436,Filtrage des images médicales basé sur  l'EDP (EDP-based medical image filtering),BERRIMI  Fella,Maitre assistant classe A,TRUE,F3I,IFIA,GL,IDTW,RSD,1/4/2022,9:31:44,
1448,Détection d'objets (piétons) basée sur HOG (HOG based object detection (pedestrians)),BERRIMI  Fella,Maitre assistant classe A,TRUE,F3I,IFIA,GL,IDTW,RSD,1/3/2022,20:01:40,
1552,Path based approach for maximizing influence in signed social networks,BOURAS  IKRAM,Maitre assistant classe B,TRUE,IFIA,RSD,GL,IDTW,F3I,1/10/2022,21:17:40,
1554,New variant of facility location problem in network design,BOURAS  IKRAM,Maitre assistant classe B,TRUE,IFIA,RSD,GL,IDTW,F3I,1/4/2022,18:36:10,
1489,Approche bio-inspirée pour un routage adaptatif dans les MANETs,Kout  Akram,Maitre de conferences classe B) --> Hors département: Faculté de Biologie,TRUE,RSD,IFIA,GL,F3I,IDTW,2/7/2022,17:05:46,
1496,Solution Bio-inspirée pour le routage dans les VANETs,Kout  Akram,Maitre de conferences classe B) --> Hors département: Faculté de Biologie,TRUE,RSD,IFIA,GL,F3I,IDTW,1/3/2022,20:20:03,
1526,Planification automatique des cours en lignes basée sur les préférences des apprenants,Kosrane  Mohamed,Maitre assistant classe A) --> Hors département: Faculté d'économie,TRUE,GL,IFIA,IDTW,F3I,RSD,1/2/2022,19:19:03,
1482,Estimation des précipitations à partir des images satellitaires en utilisant les réseaux de neurones profonds,Bouaita  Bilal,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,F3I,GL,IFIA,IDTW,RSD,1/4/2022,9:45:07,
1418,Intelligent Optimization Approaches for the QoS-Driven Services Composition Problem in Dynamic IoT Environments,SEGHIR  Fateh,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,IFIA,IDTW,GL,F3I,RSD,1/4/2022,18:02:57,
1458,machine learning in forestry using remote sensing data,CHERGUI  Nabila,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,IFIA,F3I,IDTW,RSD,GL,1/4/2022,18:05:58,
1357,HTTP-Get DoS Attack Detection using Ontology,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IFIA,RSD,IDTW,F3I,GL,1/4/2022,17:53:06,
1358,HTTP flood DoS attack detection using data mining,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IDTW,IFIA,RSD,GL,F3I,1/21/2022,10:30:26,
1430,Détecter les cyber-attaques en utilisant  data mining.techniques,Haddadi  Mohamed,"Maitre de conferences classe B) --> Hors département: Université de Boumerdes, Departement économie",TRUE,IDTW,IFIA,RSD,F3I,GL,1/16/2022,15:43:41,
1369,Détection de la falsification des données multimédia,Benmessahel  Bilel,Maitre de conferences classe B) --> Hors département: Faculté de technologie,TRUE,F3I,IFIA,IDTW,GL,RSD,1/4/2022,9:23:37,
1380,Sélection des caractéristiques  pour les données de grande dimension,Benmessahel  Bilel,Maitre de conferences classe B) --> Hors département: Faculté de technologie,FALSE,IFIA,IDTW,F3I,RSD,GL,12/6/2021,8:32:14,
1584,Développement d’une application mobile sur le Cloud Computing pour la gestion de projet,Annane  Boubakeur,Maitre assistant classe B,TRUE,GL,RSD,IFIA,IDTW,F3I,1/2/2022,19:13:29,
1376,Internet of Things Energy-Efficient routing protocol for eHealth systems,Zier  Abdelhak,Maitre assistant classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,1/3/2022,20:20:51,
1483,Authentification sécurisée dans l’internet des drones,Harbi  Yasmine,Maitre assistant classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,1/3/2022,18:37:04,
